ano;quantidade
1979;3453
1980;3674
1981;3832
1982;3958
1983;4097
1984;4238
1985;4489
1986;4703
1987;5110
1988;5149
1989;5491
1990;5760
1991;5830
1992;6271
1993;6477
1994;6911
1995;6882
1996;7085
1997;7603
1998;7987
1999;8104
2000;8311
2001;8657
2002;9010
2003;9342
2004;9789
2005;10208
2006;10834
2007;11060
2008;11813
2009;11968
2010;12705
2011;13225
2012;13591
2013;14206
2014;14622
2015;15403
2016;16069
2017;16724
2018;17572
2019;18068
2020;17825
2021;18139
2022;19103
